Day,Time,Load
15,14:00,781.74
16,14:00,863.44
17,14:00,689.34
18,14:00,723.64
19,14:00,886.04
20,14:00,829.04
21,14:00,862.04
22,14:00,731.34
23,14:00,779.44
24,14:00,903.54
25,14:00,839.09
26,14:00,932.14
27,14:00,916.54
28,14:00,912.84
29,14:00,698.14
30,14:00,933.24
31,14:00,689.24
1,15:00,670.24
2,15:00,904.54
3,15:00,903.94
4,15:00,903.84
5,15:00,383.54
6,15:00,891.54
7,15:00,914.5
8,15:00,837.34
9,15:00,941.54
10,15:00,915.34
11,15:00,926.44
12,15:00,941.14
13,15:00,918.24
14,15:00,837.14
15,15:00,750.14
16,15:00,877.44
17,15:00,833.54
18,15:00,729.84
19,15:00,883.44
20,15:00,859.14
21,15:00,851.24
22,15:00,733.64
23,15:00,929.24
24,15:00,918.94
25,15:00,895.24
26,15:00,962.64
27,15:00,890.34
28,15:00,914.44
29,15:00,646.34
30,15:00,915.64
31,15:00,699.04
1,16:00,672.74
2,16:00,890.94
3,16:00,877.84
4,16:00,852.14
5,16:00,862.14
6,16:00,920.14
7,16:00,900.2
8,16:00,821.1
9,16:00,915.39
10,16:00,933.24
11,16:00,955.44
12,16:00,942.34
13,16:00,935.94
14,16:00,900.44
15,16:00,751.64
16,16:00,837.34
17,16:00,855.84
18,16:00,721.94
19,16:00,894.94
20,16:00,842.94
21,16:00,846.14
22,16:00,718.34
23,16:00,958.84
24,16:00,911.04
25,16:00,885.84
26,16:00,962.44
27,16:00,905.44
28,16:00,911.54
29,16:00,662.14
30,16:00,917.94
31,16:00,721.04
1,17:00,659.04
2,17:00,837.94
3,17:00,854.94
4,17:00,784.14
5,17:00,702.04
6,17:00,854.94
7,17:00,874.04
8,17:00,787.94
9,17:00,904.94
10,17:00,910.74
11,17:00,922.14
12,17:00,963.04
13,17:00,889.34
14,17:00,903.54
15,17:00,772.04
16,17:00,800.44
17,17:00,807.14
18,17:00,716.14
19,17:00,865.64
20,17:00,866.34
21,17:00,824.04
22,17:00,681.74
23,17:00,926.24
24,17:00,922.04
25,17:00,857.84
26,17:00,902.14
27,17:00,862.04
28,17:00,863.64
29,17:00,674.54
30,17:00,891.74
31,17:00,699.44
1,17:30,635.84
2,17:30,797.14
3,17:30,943.14
4,17:30,893.84
5,17:30,816.04
6,17:30,909.54
7,17:30,936.94
8,17:30,792.94
9,17:30,846.54
10,17:30,858.04
11,17:30,910.84
12,17:30,1067.44
13,17:30,994.64
14,17:30,866.54
15,17:30,729.34
16,17:30,839.94
17,17:30,787.24
18,17:30,684.74
19,17:30,752.04
20,17:30,918.54
21,17:30,730.64
22,17:30,642.04
23,17:30,927.74
24,17:30,1045.04
25,17:30,804.14
26,17:30,934.44
27,17:30,927.54
28,17:30,832.74
29,17:30,782.04
30,17:30,889.64
31,17:30,695.34
1,18:00,626.84
2,18:00,906.34
3,18:00,945.64
4,18:00,123.74
5,18:00,892.94
6,18:00,1000.14
7,18:00,858.34
8,18:00,731.64
9,18:00,1055.24
10,18:00,832.04
11,18:00,795.54
12,18:00,1112.74
13,18:00,1031.14
14,18:00,951.24
15,18:00,918.84
16,18:00,945.24
17,18:00,723.84
18,18:00,684.44
19,18:00,980.44
20,18:00,918.04
21,18:00,935.74
22,18:00,734.44
23,18:00,904.64
24,18:00,1095.64
25,18:00,877.14
26,18:00,896.34
27,18:00,913.34
28,18:00,827.14
29,18:00,645.84
30,18:00,890.7
31,18:00,692.74
1,18:30,709.64
2,18:30,1013.04
3,18:30,1014.14
4,18:30,917.34
5,18:30,938.94
6,18:30,1021.34
7,18:30,1024.94
8,18:30,990.04
9,18:30,1129.7
10,18:30,1068.34
11,18:30,1095.84
12,18:30,1160.24
13,18:30,1078.84
14,18:30,1039.98
15,18:30,1006.04
16,18:30,1012.04
17,18:30,1025.43
18,18:30,792.84
19,18:30,990.44
20,18:30,968.44
21,18:30,976.24
22,18:30,810.34
23,18:30,1032.44
24,18:30,1068.74
25,18:30,982.34
26,18:30,905.04
27,18:30,924.54
28,18:30,207.14
29,18:30,654.44
30,18:30,881.74
31,18:30,721.04
1,19:00,1076.24
2,19:00,1203.24
3,19:00,1143.84
4,19:00,1118.38
5,19:00,1172.54
6,19:00,1145.24
7,19:00,1154.94
8,19:00,1172.94
9,19:00,1186.64
10,19:00,1174.04
11,19:00,1239.64
12,19:00,1253.84
13,19:00,1135.44
14,19:00,1141.44
15,19:00,853.24
16,19:00,1089.84
17,19:00,1131.94
18,19:00,1081.64
19,19:00,1085.64
20,19:00,1141.24
21,19:00,1110.64
22,19:00,963.14
23,19:00,1117.54
24,19:00,980.04
25,19:00,1061.44
26,19:00,984.44
27,19:00,1016.14
28,19:00,138.04
29,19:00,759.94
30,19:00,924.54
31,19:00,833.74
1,19:30,1129.14
2,19:30,1190.44
3,19:30,928.44
4,19:30,1156.34
5,19:30,1200.14
6,19:30,1166.54
7,19:30,1157.74
8,19:30,943.84
9,19:30,1245.7
10,19:30,1254.34
11,19:30,1271.34
12,19:30,990.54
13,19:30,1148.94
14,19:30,1196.54
15,19:30,1166.34
16,19:30,1110.74
17,19:30,1135.24
18,19:30,1160.54
19,19:30,1163.34
20,19:30,1186.44
